time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-11-27T22:03:56.567Z,-37.7402,179.6884,19,5.8,mww,131,51,1.111,1.22,us,us7000nula,2024-11-28T22:08:26.101Z,"123 km E of Hicks Bay, New Zealand",earthquake,7.41,1.674,0.046,46,reviewed,us,us
2024-11-27T21:58:45.213Z,15.3961,120.8057,182,5.7,mww,127,32,7.387,0.89,us,us7000nul8,2024-11-28T22:02:36.741Z,"0 km SSE of Batitang, Philippines",earthquake,8.43,1.884,0.044,50,reviewed,us,us
2024-11-27T20:34:40.723Z,48.6418,100.1068,10,5.1,mb,49,41,4.279,0.74,us,us7000nuku,2024-11-27T20:52:31.040Z,"109 km SSW of Tsengel, Mongolia",earthquake,7.13,1.845,0.081,49,reviewed,us,us
2024-11-27T20:31:40.828Z,40.3941,77.7796,10,4.5,mwr,89,115,1.356,0.84,us,us7000nuks,2024-11-29T19:56:20.206Z,"123 km WNW of Tumxuk, China",earthquake,5.69,1.886,0.061,26,reviewed,us,us
2024-11-27T18:04:59.040Z,11.2129,125.8231,35,4.5,mb,95,111,4.124,0.67,us,us7000nujz,2024-11-28T17:02:48.094Z,"18 km ENE of Salcedo, Philippines",earthquake,10.6,1.896,0.06,89,reviewed,us,us
2024-11-27T17:31:02.638Z,37.3768,71.5398,113.349,4.7,mwr,127,82,1.945,0.62,us,us7000nuj7,2024-11-28T16:34:45.040Z,"12 km S of Khorugh, Tajikistan",earthquake,4.97,5.575,0.073,18,reviewed,us,us
2024-11-27T15:59:18.111Z,-60.2725,-47.6045,10,5.2,mb,74,56,8.495,0.51,us,us7000nuix,2024-11-27T16:14:49.040Z,"Scotia Sea",earthquake,8.58,1.856,0.069,69,reviewed,us,us
2024-11-27T15:46:15.567Z,27.7484,52.3069,10,4.5,mb,86,62,4.474,0.58,us,us7000nuiu,2024-11-27T16:17:29.040Z,"60 km WNW of Mohr, Iran",earthquake,7.96,1.859,0.06,82,reviewed,us,us
2024-11-27T15:46:01.820Z,-14.4419,167.3887,183.737,4.5,mb,38,126,1.015,0.6,us,us7000nuir,2024-11-27T16:27:52.040Z,"65 km SSW of Sola, Vanuatu",earthquake,13.13,6.442,0.107,26,reviewed,us,us
2024-11-27T15:32:23.626Z,24.0113,121.7273,43.625,4.6,mwr,57,68,0.729,0.82,us,us7000nuil,2024-11-28T23:06:22.397Z,"13 km ENE of Hualien City, Taiwan",earthquake,3.34,6.095,0.063,24,reviewed,us,us
